"book_id","title","author","genre","price"
"1","Bestsellers","Ivan King","Young Adult Fiction","12.99"
"2","Bestseller","Robert McParland","Literary Criticism","40.5"
"3","Hype","Jon Helgason","Literary Criticism","31.99"
"4","A Richard Wright Bibliography","Kenneth Kinnamon","Social Science","74.7"
"5","Motivational Books","Ivan King","Self-Help","12.99"
"6","8 Great Habits of Extremely Effective Christians","Ivan King","Self-Help","12.99"
"7","Purpose of a Christian Life","Ivan King","Religion","12.99"
"8","Self Help Books","Ivan King","Self-Help","12.99"
"9","Personal Development","Ivan King","Business & Economics","9.99"
"10","Inspirational Christian","Ivan King","Young Adult Fiction","9.99"
"11","Christian Books","Ivan King","Religion","9.99"
"12","Books About Life","Ivan King","Science","9.99"
"13","Christian Suspense","Ivan King","Young Adult Fiction","9.99"
"14","Christianity","Ivan King","Religion","9.99"
"15","Inspirational Books","Ivan King","Young Adult Nonfiction","9.99"
"16","Young Adults","Ivan King","Young Adult Fiction","9.99"
"17","Suspense Books","Ivan King","Young Adult Fiction","12.99"
"18","The Myth of Superwoman","Resa L. Dudovitz","Literary Criticism","46.99"
"19","Sisters by Choice","Susan Mallery","Fiction","14.99"
"20","Charged","G. P. Ching","Fiction","4.99"
"21","Driving Mr. Wrong Home","Shirley Jump","Fiction","1.99"
"22","Familiar Faces","Mary Roberts Rinehart","Fiction","9.99"
"23","Cocoa Beans","Michael J. Hughes","Fiction","3.99"
"24","Fictional Feminism","Kim A. Loudermilk","Literary Criticism","68.99"
"25","In the Dead of the Night","Terry Spear","Fiction","4.99"
"26","Collected Fiction","Irwin Shaw","Fiction","29.99"
"27","The Madame Catches Her Duke","Christina McKnight","Fiction","4.99"
"28","The Little Princess of Tower Hill","L. T. Meade","Unknown","8.3"
"29","Echoes of Chaos: An Epic Fantasy Novel (The Famine Cycle #2)","J.D.L. Rosell","Fiction","4.99"
"30","Abanda","John H. Hayes","History","21.0"
"31","Adhd Isnt Me!","Candace Curry","Fiction","5.99"
"32","Trapped in Oz","Andrew Grey","Fiction","4.99"
"33","The Stuff of Science Fiction","Gary Westfahl","Literary Criticism","29.99"
"34","The Years Best Science Fiction: Twenty-Eighth Annual Collection","Gardner Dozois","Fiction","11.99"
"35","Science Fiction: 101","Robert Silverberg","Fiction","14.99"
"36","The Years Best Science Fiction: Twenty-Fifth Annual Collection","Gardner Dozois","Fiction","14.99"
"37","Age of Wonders","David G. Hartwell","Literary Criticism","2.99"
"38","The Road to Science Fiction: From Gilgamesh to Wells","James Gunn","Fiction","20.7"
"39","The First William P. McGivern Science Fiction MEGAPACK","William P. McGivern","Fiction","0.99"
"40","Free Live Free","Gene Wolfe","Fiction","14.99"
"41","The War of The Worlds - A Science Fiction Classic (Complete Edition)","H. G. Wells","Fiction","0.99"
"42","Pseudoscience and Science Fiction","Andrew May","Science","24.99"
"43","Encyclopedia of Time","Samuel L. Macey","Business & Economics","300.0"
"44","The Anatomy of Genres","John Truby","Language Arts & Disciplines","12.99"
"45","Battlestar Galactica","Roz Kaveney","Performing Arts","24.25"
"46","The New Historical Dictionary of the American Film Industry","Anthony Slide","Reference","26.95"
"47","The Routledge Anthology of Global Science Fiction Origins","Bill Gillard","Literary Criticism","54.99"
"48","The Work of Robert Reginald","Michael Burgess","Literary Criticism","4.99"
"49","The Good Old Stuff","Gardner Dozois","Fiction","17.99"
"50","Equipping Space Cadets","Emily Midkiff","Literary Criticism","30.0"
"51","Smashed Hopes","Dave Walsh","Fiction","5.99"
"52","Coming Home","Ryan M. Williams","Fiction","2.99"
"53","Z-Lensman","David A. Kyle","Fiction","2.99"
"54","Fantasy Football Tips","Sam Hendricks","Games & Activities","8.75"
"55","Modern Fantasy","Colin N. Manlove","Literary Criticism","35.0"
"56","Interface Fantasy","Andre Nusselder","Philosophy","15.99"
"57","Years Best Fantasy","Paula Guran","Fiction","9.99"
"58","Art of Fantasy","S. Elizabeth","Art","30.0"
"59","Teaching Fantasy Novels","Phyllis J. Perry","Language Arts & Disciplines","33.3"
"60","Fantasy Global Appeal","Nakoa Rainfall","History","3.99"
"61","Science Fiction and Fantasy Literature","R. Reginald","Reference","4.99"
"62","Fantasy Books","I.G. Harding","Comics & Graphic Novels","6.99"
"63","The Griffin Sanctuary Volume 1","Arizona Tape","Fiction","0.99"
"64","Translation and Fantasy Literature in Taiwan","Y. Chung","Language Arts & Disciplines","54.99"
"65","Drawing Fantasy Creatures","A. J. Sautter","Juvenile Nonfiction","9.95"
"66","Fantasy World of Bettie Page #4","Michael Frizell","Comics & Graphic Novels","3.99"
"67","Twice As High","Tina Glasneck","Fiction","5.99"
"68","DragonArt Collectors Edition","Jessica Peffer Neondragon","Art","9.99"
"69","David Henry Hwang s play M. Butterfly - A Fantasy of the Western Male","Babette Treptow","Literary Collections","15.9"
"70","Jerrys Eyes (Detective MysteryThriller) By Diya Chowdhury","Diya Chowdhury","Fiction","0.05"
"71","Films, Poems, Codes","Steve Canada","Education","3.99"
"72","Merciless Games","Tikiri Herath","Fiction","6.99"
"73","Oswaal CBSE Question Bank Class 12 Computer Science, Chapterwise and Topicwise Solved Papers For Board Exams 2025","Oswaal Editorial Board","Study Aids","7.88"
"74","East Asian Media Culture in the Age of Digital Platforms","Dal Yong Jin","Social Science","56.99"
"75","McCrarys Justice (Carlos McCrary PI, Book 6)","Dallas Gorham","Fiction","3.99"
"76","Already Dead (A Laura Frost FBI Suspense ThrillerBook 5)","Blake Pierce","Fiction","5.99"
"77","Girl, Vanished (An Ella Dark FBI Suspense ThrillerBook 5)","Blake Pierce","Fiction","4.99"
"78","Hush Little Girl","Lisa Regan","Fiction","4.99"
"79","Find Her Alive","Lisa Regan","Fiction","4.99"
"80","Taken to the Grave","M.M. Chouinard","Fiction","2.99"
"81","Girl Three: Trapped (A Maya Gray FBI Suspense ThrillerBook 3)","Molly Black","Fiction","3.99"
"82","The Hidden Child","Rebecca Griffiths","Fiction","3.99"
