"order_id","member_id","book_id","order_date","quantity","order_status"
"1","35","145","2024-11-05","1","Returned"
"2","44","105","2024-12-17","3","Delivered"
"3","65","251","2024-05-08","1","Delivered"
"4","55","425","2024-05-21","1","Delivered"
"5","43","395","2024-03-07","3","Delivered"
"6","21","380","2024-08-14","3","Returned"
"7","55","288","2024-01-05","1","Delivered"
"8","20","280","2024-01-19","2","Cancelled"
"9","71","76","2024-08-08","1","Delivered"
"10","40","187","2024-01-21","2","Delivered"
"11","32","342","2024-02-22","2","Cancelled"
"12","53","499","2024-11-13","3","Delivered"
"13","31","443","2024-03-24","1","Delivered"
"14","4","92","2024-06-19","2","Returned"
"15","32","137","2024-03-22","3","Delivered"
"16","49","447","2024-01-20","2","Delivered"
"17","26","419","2024-08-23","2","Delivered"
"18","30","115","2024-01-13","3","Delivered"
"19","52","169","2024-05-22","1","Delivered"
"20","45","329","2024-09-17","2","Returned"
"21","69","170","2024-01-15","1","Delivered"
"22","23","298","2024-05-15","1","Delivered"
"23","77","223","2024-06-25","3","Delivered"
"24","56","311","2024-09-18","1","Delivered"
"25","74","98","2024-05-10","1","Returned"
"26","56","1","2024-09-23","3","Returned"
"27","26","187","2024-08-08","1","Returned"
"28","43","320","2024-06-09","3","Delivered"
"29","39","260","2024-06-07","3","Delivered"
"30","42","207","2024-12-22","2","Cancelled"
"31","17","99","2024-08-03","3","Delivered"
"32","23","316","2024-10-18","2","Delivered"
"33","71","427","2024-01-01","2","Delivered"
"34","27","221","2024-10-23","3","Returned"
"35","42","239","2024-08-14","2","Returned"
"36","28","262","2024-08-30","3","Delivered"
"37","11","146","2024-09-20","3","Returned"
"38","80","172","2024-02-17","1","Returned"
"39","40","116","2024-04-11","1","Delivered"
"40","6","126","2024-08-31","3","Delivered"
"41","59","213","2024-11-18","3","Delivered"
"42","50","254","2024-07-23","1","Delivered"
"43","1","458","2024-02-24","2","Delivered"
"44","23","412","2024-12-22","3","Delivered"
"45","7","286","2024-05-07","1","Delivered"
"46","18","411","2024-08-25","3","Cancelled"
"47","72","305","2024-06-11","2","Cancelled"
"48","65","219","2024-10-07","2","Delivered"
"49","61","231","2024-05-12","1","Returned"
"50","36","393","2024-09-23","2","Returned"
"51","31","141","2024-08-13","1","Returned"
"52","37","121","2024-05-19","2","Delivered"
"53","70","42","2024-03-11","1","Delivered"
"54","50","356","2024-03-19","3","Delivered"
"55","9","213","2024-07-27","2","Cancelled"
"56","60","213","2024-02-01","1","Delivered"
"57","50","464","2024-10-26","3","Delivered"
"58","74","195","2024-09-01","1","Delivered"
"59","39","386","2024-07-18","2","Cancelled"
"60","70","410","2024-11-04","1","Delivered"
"61","29","140","2024-08-11","2","Delivered"
"62","50","173","2024-12-08","3","Delivered"
"63","22","431","2024-08-27","1","Cancelled"
"64","69","14","2024-07-20","3","Cancelled"
"65","4","43","2024-11-25","2","Delivered"
"66","60","94","2024-01-26","2","Delivered"
"67","42","109","2024-08-20","2","Delivered"
"68","49","143","2024-08-03","2","Delivered"
"69","61","10","2024-10-03","1","Delivered"
"70","29","333","2024-02-05","3","Delivered"
"71","4","487","2024-05-06","1","Delivered"
"72","80","79","2024-05-02","1","Delivered"
"73","15","289","2024-04-21","2","Returned"
"74","33","393","2024-07-07","1","Cancelled"
"75","78","494","2024-02-28","1","Delivered"
"76","14","297","2024-01-14","2","Cancelled"
"77","49","204","2024-04-11","1","Cancelled"
"78","32","53","2024-12-22","2","Returned"
"79","77","413","2024-03-02","3","Delivered"
"80","45","273","2024-08-07","3","Delivered"
"81","9","260","2024-11-27","2","Delivered"
"82","54","422","2024-09-07","1","Delivered"
"83","47","326","2024-08-23","3","Delivered"
"84","56","91","2024-09-24","3","Delivered"
"85","79","414","2024-10-02","2","Delivered"
"86","56","423","2024-10-30","2","Delivered"
"87","32","426","2024-02-14","2","Delivered"
"88","32","385","2024-08-25","3","Cancelled"
"89","49","173","2024-01-15","2","Delivered"
"90","24","250","2024-04-18","2","Delivered"
"91","44","144","2024-11-01","3","Delivered"
"92","72","6","2024-09-21","1","Delivered"
"93","31","369","2024-07-27","2","Cancelled"
"94","31","354","2024-08-31","3","Returned"
"95","63","230","2024-01-09","1","Delivered"
"96","29","208","2024-12-20","1","Delivered"
"97","75","189","2024-08-30","3","Cancelled"
"98","45","218","2024-10-08","2","Delivered"
"99","59","139","2024-06-05","2","Delivered"
"100","16","370","2024-04-08","2","Delivered"
"101","69","487","2024-12-19","1","Delivered"
"102","28","379","2024-09-04","2","Returned"
"103","76","390","2024-09-25","3","Delivered"
"104","13","427","2024-04-09","2","Delivered"
"105","47","92","2024-06-03","1","Returned"
"106","69","65","2024-05-20","1","Delivered"
"107","71","150","2024-12-23","1","Returned"
"108","63","53","2024-01-07","3","Delivered"
"109","61","246","2024-08-13","2","Delivered"
"110","7","130","2024-09-01","1","Delivered"
"111","52","252","2024-02-07","3","Returned"
"112","7","78","2024-03-17","3","Delivered"
"113","11","128","2024-03-01","3","Delivered"
"114","78","306","2024-11-12","1","Cancelled"
"115","49","231","2024-08-14","2","Cancelled"
"116","55","157","2024-10-18","3","Delivered"
"117","79","492","2024-02-20","1","Returned"
"118","28","136","2024-12-04","1","Delivered"
"119","31","89","2024-10-09","1","Delivered"
"120","1","210","2024-08-18","3","Cancelled"
"121","61","150","2024-01-17","1","Delivered"
"122","37","360","2024-08-20","1","Returned"
"123","30","474","2024-05-15","3","Cancelled"
"124","26","218","2024-02-28","3","Delivered"
"125","20","466","2024-05-16","1","Delivered"
"126","8","85","2024-06-06","3","Returned"
"127","73","472","2024-05-27","2","Delivered"
"128","60","353","2024-06-04","3","Delivered"
"129","35","257","2024-10-03","2","Delivered"
"130","11","307","2024-01-21","2","Returned"
"131","42","310","2024-05-08","1","Delivered"
"132","30","493","2024-12-11","3","Cancelled"
"133","3","392","2024-12-10","2","Cancelled"
"134","6","391","2024-03-30","2","Cancelled"
"135","57","470","2024-05-22","1","Cancelled"
"136","56","326","2024-09-08","1","Delivered"
"137","45","210","2024-06-19","2","Returned"
"138","14","440","2024-03-23","2","Delivered"
"139","64","148","2024-12-05","2","Cancelled"
"140","5","233","2024-02-15","2","Delivered"
"141","42","60","2024-07-25","3","Delivered"
"142","70","237","2024-07-30","1","Delivered"
"143","67","186","2024-11-14","2","Returned"
"144","57","390","2024-01-27","1","Delivered"
"145","71","68","2024-05-27","2","Returned"
"146","63","63","2024-01-15","3","Cancelled"
"147","31","364","2024-03-22","2","Cancelled"
"148","2","283","2024-07-27","1","Delivered"
"149","15","237","2024-03-01","3","Delivered"
"150","64","478","2024-05-29","3","Returned"
"151","35","213","2024-09-04","2","Delivered"
"152","59","283","2024-03-15","2","Delivered"
"153","77","261","2024-03-10","1","Delivered"
"154","54","175","2024-09-16","2","Delivered"
"155","37","372","2024-06-01","3","Cancelled"
"156","63","444","2024-03-17","2","Cancelled"
"157","62","177","2024-06-19","3","Cancelled"
"158","49","234","2024-06-13","1","Returned"
"159","31","293","2024-07-15","1","Delivered"
"160","6","163","2024-08-30","3","Delivered"
"161","50","340","2024-11-29","1","Delivered"
"162","5","65","2024-09-14","3","Delivered"
"163","13","448","2024-08-13","1","Cancelled"
"164","59","8","2024-03-14","2","Returned"
"165","20","39","2024-08-28","2","Delivered"
"166","80","355","2024-07-22","3","Delivered"
"167","43","437","2024-12-11","3","Delivered"
"168","41","321","2024-09-06","3","Delivered"
"169","80","36","2024-04-30","3","Returned"
"170","37","117","2024-02-16","2","Delivered"
"171","13","228","2024-03-26","3","Delivered"
"172","4","24","2024-06-15","1","Delivered"
"173","46","192","2024-08-08","1","Delivered"
"174","68","211","2024-10-16","3","Delivered"
"175","22","90","2024-02-10","3","Delivered"
"176","80","350","2024-05-03","2","Cancelled"
"177","19","119","2024-08-24","3","Delivered"
"178","59","131","2024-12-07","1","Delivered"
"179","37","347","2024-10-06","1","Delivered"
"180","57","484","2024-06-25","3","Delivered"
"181","55","354","2024-05-08","2","Delivered"
"182","26","197","2024-09-04","1","Delivered"
"183","49","293","2024-07-02","3","Delivered"
"184","38","12","2024-12-03","2","Delivered"
"185","2","290","2024-12-17","3","Delivered"
"186","78","382","2024-09-11","2","Delivered"
"187","78","411","2024-06-29","1","Returned"
"188","25","318","2024-05-08","3","Returned"
"189","18","322","2024-02-19","3","Returned"
"190","6","159","2024-08-13","1","Cancelled"
"191","47","375","2024-03-08","1","Delivered"
"192","42","383","2024-07-31","1","Delivered"
"193","17","403","2024-10-03","2","Cancelled"
"194","65","468","2024-05-19","1","Delivered"
"195","62","496","2024-05-31","3","Delivered"
"196","15","240","2024-02-08","1","Delivered"
"197","51","496","2024-10-12","2","Delivered"
"198","51","8","2024-05-15","3","Delivered"
"199","59","189","2024-12-10","3","Returned"
"200","34","300","2024-07-14","3","Delivered"
"201","14","346","2024-04-29","2","Delivered"
"202","80","453","2024-10-14","2","Cancelled"
"203","29","332","2024-02-02","3","Delivered"
"204","39","333","2024-07-28","1","Delivered"
